Date;IGPM;IPCS4;FIPE4;IPCA;IGP10;IPAM;INCCM;IPCA15
2018-01-01;0.76;0.69;0.46;0.29;0.79;0.91;0.28;0.39
2018-02-01;0.07;0.17;-0.42;0.32;0.23;-0.02;0.14;0.38
2018-03-01;0.64;0.17;0.00;0.09;0.45;0.89;0.23;0.10
2018-04-01;0.57;0.34;-0.03;0.22;0.56;0.71;0.28;0.21
2018-05-01;1.38;0.41;0.19;0.40;1.11;1.97;0.30;0.14
2018-06-01;1.87;1.19;1.01;1.26;1.86;2.33;0.76;1.11
2018-07-01;0.51;0.17;0.23;0.33;0.93;0.50;0.72;0.64
2018-08-01;0.70;0.07;0.41;-0.09;0.51;1.00;0.30;0.13
2018-09-01;1.52;0.45;0.39;0.48;1.20;2.19;0.17;0.09
2018-10-01;0.89;0.48;0.48;0.45;1.43;1.10;0.33;0.58
2018-11-01;-0.49;-0.17;0.15;-0.21;-0.16;-0.81;0.26;0.19
2018-12-01;-1.08;0.29;0.09;0.15;-1.23;-1.67;0.13;-0.16
2019-01-01;0.01;0.57;0.58;0.32;-0.26;-0.26;0.40;0.30
2019-02-01;0.88;0.35;0.54;0.43;0.40;1.22;0.19;0.34
2019-03-01;1.26;0.65;0.51;0.75;1.40;1.67;0.19;0.54
2019-04-01;0.92;0.63;0.29;0.57;1.00;1.07;0.49;0.72
2019-05-01;0.45;0.22;-0.02;0.13;0.70;0.54;0.09;0.35
2019-06-01;0.80;-0.02;0.15;0.01;0.49;1.16;0.44;0.06
2019-07-01;0.40;0.31;0.14;0.19;0.61;0.40;0.91;0.09
2019-08-01;-0.67;0.17;0.33;0.11;-0.47;-1.14;0.34;0.08
2019-09-01;-0.01;0.00;0.00;-0.04;-0.29;-0.09;0.60;0.09
2019-10-01;0.68;-0.09;0.16;0.10;0.77;1.02;0.12;0.09
2019-11-01;0.30;0.49;0.68;0.51;0.19;0.36;0.15;0.14
2019-12-01;2.09;0.77;0.94;1.15;1.69;2.84;0.14;1.05
2020-01-01;0.48;0.59;0.29;0.21;1.07;0.50;0.26;0.71
2020-02-01;-0.04;-0.01;0.11;0.25;0.01;-0.19;0.35;0.22
2020-03-01;1.24;0.34;0.10;0.07;0.64;1.76;0.38;0.02
2020-04-01;0.80;-0.18;-0.30;-0.31;1.13;1.12;0.18;-0.01
2020-05-01;0.28;-0.54;-0.24;-0.38;0.07;0.59;0.21;-0.59
2020-06-01;1.56;0.36;0.39;0.26;1.55;2.25;0.32;0.02
2020-07-01;2.23;0.49;0.25;0.36;1.91;3.00;0.84;0.30
2020-08-01;2.74;0.53;0.78;0.24;2.53;3.74;0.82;0.23
2020-09-01;4.34;0.82;1.12;0.64;4.34;5.92;1.15;0.45
2020-10-01;3.23;0.65;1.19;0.86;3.20;4.15;1.69;0.94
2020-11-01;3.28;0.94;1.03;0.89;3.51;4.26;1.29;0.81
2020-12-01;0.96;1.07;0.79;1.35;1.97;0.90;0.88;1.06
2021-01-01;2.58;0.27;0.86;0.25;1.33;3.38;0.93;0.78
2021-02-01;2.53;0.54;0.23;0.86;2.97;3.28;1.07;0.48
2021-03-01;2.94;1.00;0.71;0.93;2.99;3.56;2.00;0.93
2021-04-01;1.51;0.23;0.44;0.31;1.58;1.84;0.95;0.60
2021-05-01;4.10;0.81;0.41;0.83;3.24;5.23;1.80;0.44
2021-06-01;0.60;0.64;0.81;0.53;2.32;0.42;2.30;0.83
2021-07-01;0.78;0.92;1.02;0.96;0.18;0.71;1.24;0.72
2021-08-01;0.66;0.71;1.44;0.87;1.18;0.66;0.56;0.89
2021-09-01;-0.64;1.43;1.13;1.16;-0.37;-1.21;0.56;1.14
2021-10-01;0.64;0.77;1.00;1.25;-0.31;0.53;0.80;1.20
2021-11-01;0.02;1.08;0.72;0.95;1.19;-0.29;0.71;1.17
2021-12-01;0.87;0.57;0.57;0.73;-0.14;0.95;0.30;0.78
2022-01-01;1.82;0.49;0.74;0.54;1.79;2.30;0.64;0.58
2022-02-01;1.83;0.28;0.90;1.01;1.98;2.36;0.48;0.99
2022-03-01;1.74;1.35;1.28;1.62;1.18;2.07;0.73;0.95
2022-04-01;1.41;1.08;1.62;1.06;2.48;1.45;0.87;1.73
2022-05-01;0.52;0.50;0.42;0.47;0.10;0.45;1.49;0.59
2022-06-01;0.59;0.67;0.28;0.67;0.74;0.30;2.81;0.69
2022-07-01;0.21;-1.19;0.16;-0.68;0.60;0.21;1.16;0.13
2022-08-01;-0.70;-0.57;0.12;-0.36;-0.69;-0.71;0.33;-0.73
2022-09-01;-0.95;0.02;0.12;-0.29;-0.90;-1.27;0.10;-0.37
2022-10-01;-0.97;0.69;0.45;0.59;-1.04;-1.44;0.04;0.16
2022-11-01;-0.56;0.57;0.47;0.41;-0.59;-0.94;0.14;0.53
2022-12-01;0.45;0.35;0.54;0.62;0.36;0.47;0.27;0.52
2023-01-01;0.21;0.80;0.63;0.53;0.05;0.10;0.32;0.55
2023-02-01;-0.06;0.34;0.43;0.84;0.02;-0.20;0.21;0.76
2023-03-01;0.05;0.74;0.39;0.71;0.05;-0.12;0.18;0.69
2023-04-01;-0.95;0.50;0.43;0.61;-0.58;-1.45;0.23;0.57
2023-05-01;-1.84;0.08;0.20;0.23;-1.53;-2.72;0.40;0.51
2023-06-01;-1.93;-0.10;-0.03;-0.08;-2.20;-2.73;0.85;0.04
2023-07-01;-0.72;0.07;-0.14;0.12;-1.10;-1.05;0.06;-0.07
2023-08-01;-0.14;-0.22;-0.20;0.23;-0.13;-0.17;0.24;0.28
2023-09-01;0.37;0.27;0.29;0.26;0.18;0.41;0.24;0.35
2023-10-01;0.50;0.45;0.30;0.24;0.52;0.60;0.20;0.21
2023-11-01;0.59;0.27;0.43;0.28;0.52;0.71;0.10;0.33
2023-12-01;0.74;0.29;0.38;0.56;0.62;0.97;0.26;0.40
2024-01-01;0.07;0.61;0.46;0.42;0.42;-0.09;0.23;0.31
2024-02-01;-0.52;0.55;0.46;0.83;-0.65;-0.90;0.20;0.78
2024-03-01;-0.47;0.10;0.26;0.16;-0.17;-0.77;0.24;0.36
2024-04-01;0.31;0.42;0.33;0.38;-0.33;0.29;0.41;0.21
2024-05-01;0.89;0.53;0.09;0.46;1.08;1.06;0.59;0.44
2024-06-01;0.81;0.22;0.26;0.21;0.83;0.89;0.93;0.39
2024-07-01;0.61;0.54;0.06;0.38;0.45;0.68;0.69;0.30
2024-08-01;0.29;-0.16;0.18;-0.02;0.72;0.29;0.64;0.19
2024-09-01;0.62;0.63;0.18;0.44;0.18;0.70;0.61;0.13
2024-10-01;1.52;0.30;0.80;0.56;1.34;1.94;0.67;0.54
Source;FGV;FGV;Fipe;IBGE;FGV;FGV;FGV;IBGE
